salary,age,college,grad,comten,ceoten,sales,profits,mktval,lsalary,lsales,lmktval,comtensq,ceotensq,profmarg
1161,49,1,1,9,2,6200,966,23200,7.0570369,8.7323046,10.05191,81,4,15.58065
600,43,1,1,10,10,283,48,1100,6.3969302,5.6454468,7.0030661,100,100,16.96113
379,51,1,1,9,3,169,40,1100,5.9375358,5.129899,7.0030661,81,9,23.66864
651,55,1,0,22,22,1100,-54,1000,6.4785089,7.0030661,6.9077549,484,484,-4.909091
497,44,1,1,8,6,351,28,387,6.20859,5.860786,5.958425,64,36,7.9772081
1067,64,1,1,7,7,19000,614,3900,6.9726062,9.8521938,8.2687321,49,49,3.2315791
945,59,1,0,35,10,536,24,623,6.8511848,6.2841339,6.434546,1225,100,4.477612
1261,63,1,1,32,8,4800,191,2100,7.1396599,8.4763708,7.649693,1024,64,3.979167
503,47,1,1,4,4,610,7,454,6.2205901,6.4134588,6.1180968,16,16,1.147541
1094,64,1,1,39,5,2900,230,3900,6.9975958,7.972466,8.2687321,1521,25,7.931035
601,54,1,1,26,7,1200,34,533,6.3985949,7.0900769,6.278522,676,49,2.833333
355,66,1,0,39,8,560,8,477,5.872118,6.3279371,6.1675172,1521,64,1.428571
1200,72,1,0,37,37,796,35,678,7.0900769,6.6795988,6.5191469,1369,1369,4.3969851
697,51,1,0,25,1,8200,234,5700,6.5467849,9.0118895,8.648221,625,1,2.853658
1041,63,1,1,21,11,4300,91,1400,6.947937,8.3663702,7.2442269,441,121,2.1162789
245,44,1,1,7,7,135,24,558,5.5012579,4.9052749,6.3243589,49,49,17.777781
817,68,1,0,38,4,1300,55,847,6.7056389,7.1701198,6.7417011,1444,16,4.2307692
1675,71,0,0,31,12,674,115,1200,7.4235678,6.5132298,7.0900769,961,144,17.062309
971,72,1,1,33,24,1400,69,609,6.8783259,7.2442269,6.411819,1089,576,4.9285712
609,58,1,0,36,1,1100,69,880,6.411819,7.0030661,6.779922,1296,1,6.272727
470,60,1,1,20,6,2300,210,2200,6.1527328,7.740664,7.6962128,400,36,9.130435
867,59,1,0,36,14,884,81,1500,6.765039,6.7844572,7.313221,1296,196,9.1628962
752,54,1,0,32,4,1600,193,3200,6.622736,7.377759,8.0709057,1024,16,12.0625
246,51,1,0,8,8,78,13,458,5.505332,4.356709,6.1268692,64,64,16.66667
825,56,1,1,4,4,10700,295,5900,6.715384,9.2779989,8.6827078,16,16,2.757009
358,50,1,1,23,4,99,25,2300,5.8805332,4.59512,7.740664,529,16,25.252529
1162,58,1,0,24,6,3800,226,1800,7.057898,8.2427559,7.495542,576,36,5.9473691
270,43,1,0,15,2,150,28,713,5.5984221,5.0106349,6.5694809,225,4,18.66667
829,56,1,0,14,8,2200,184,1500,6.7202201,7.6962128,7.313221,196,64,8.363636
300,77,0,0,45,26,6900,483,4700,5.703783,8.8392763,8.4553165,2025,676,7
1627,62,1,1,13,4,8300,596,9100,7.3944931,9.0240107,9.1160297,169,16,7.1807232
1237,63,1,1,37,9,4600,108,6200,7.1204438,8.4338112,8.7323046,1369,81,2.347826
540,61,1,1,37,1,5200,549,5600,6.2915692,8.5564137,8.6305218,1369,1,10.55769
1798,66,1,1,21,14,24300,338,12500,7.4944301,10.09823,9.4334841,441,196,1.390947
474,40,1,0,18,1,2700,117,2000,6.1612072,7.9010072,7.600903,324,1,4.333333
1336,60,1,1,21,13,4500,562,4300,7.1974349,8.4118328,8.3663702,441,169,12.48889
541,51,1,0,30,4,1400,82,1200,6.2934189,7.2442269,7.0900769,900,16,5.8571429
129,66,1,1,4,4,59,28,412,4.8598118,4.077538,6.0210228,16,16,47.45763
1700,54,1,1,21,5,6800,1200,20400,7.4383841,8.8246775,9.9232903,441,25,17.64706
1750,66,1,1,31,24,16200,1400,17900,7.467371,9.6927662,9.7925558,961,576,8.6419754
624,61,1,1,21,13,1100,109,934,6.436151,7.0030661,6.8394771,441,169,9.909091
791,66,1,0,14,8,2300,-60,487,6.6732979,7.740664,6.1882639,196,64,-2.608696
1487,51,1,0,3,3,22200,182,2800,7.3045158,10.00785,7.9373751,9,9,.81981981
2021,56,1,0,34,3,51300,2700,42900,7.6113482,10.84545,10.66663,1156,9,5.2631578
1550,47,1,1,19,3,1100,120,4900,7.3460102,7.0030661,8.4969902,361,9,10.90909
401,64,1,0,44,8,571,57,670,5.9939609,6.3473892,6.507277,1936,64,9.9824867
1295,62,1,0,8,8,10700,1300,16400,7.166266,9.2779989,9.7050362,64,64,12.14953
